Player,Skill Level
Max Hopp,9
Michael van Gerwen,10
Mark Webster,9
Rowby-John Rodriguez,8
Simon Whitlock,9
Steve Beaton,7
Boris Koltsov,8
Daryl Gurney,7
Gary Anderson,9
Sascha Stein,8
Robert Thornton,7
Vincent van der Voort,7
Paul Nicholson,7
Raymond van Barneveld,6
Justin Pipe,6
Mensur Suljovic,8
Ronny Huybrechts,6
Christian Perez,7
Phil Taylor,6
Jamie Lewis,7
Devon Peterson,6
Gerwyn Price,9
Christian Kist,6
Terry Jenkins,5
Jamie Caven,6
Brendan Dolan,6
Dave Chisnall,7
James Wade,7
Michael Smith,6
Dean Winstanley,5
John Weber,6
Dan Olsen,5
Scott Waites,5
Wes Newton,6
Keegan Brown,6
Mike Zuydwijk,6
Benito van de Pas,7
Kevin Painter,5
Jermaine Wattimena,6
Adrian Lewis,7
Scott Kirchner,5
Steve West,5
Peter Wright,7
Arron Monk,5
Andy Hamilton,6
Stephen Bunting,5
Lodewyk Marais,6
Nolan Arendse,6
Ian White,6
Jelle Klaasen,6
Laurence Ryder,6
Darren Webster,5
Malik Abujamal,5
Benjamin Daimoi,5
Scott Rand,5
Matt Clark,5
Kim Huybrechts,6
Lindsay Wells,6
Cristo Reyes,6
Per Laursen,6
Ronnie Baxter,5
Carlos Rodriguez,6
Dave Richardson,6
Joe Cullen,7
Stuart Kellett,6
John Part,6
Bob Sinnaeve,5
Niels Jorgen Hansen,5
Baha Mohammed,5
Mervyn King,5
Ron Miller,5
Mark McGrath,6
Ibrahim Abuta,5
Shaun Narain,6
Ron Meulencamp,5
Ryan de Vreede,5
Jan Dekker,5
Alex Hon,5
Wesley Harms,5
Anastasia Dobromyslova,6
Darin Young,5
Dirk van Duijvenbode,6
Katsuya Aiba,5
Michael Mansell,5
Steve Hine,5
Glenn Spearing,5
John Bowles,5
Morihiro Hashimoto,5
Beau Anderson,5
Larry Butler,5
Sami Sanssi,5
Royden Lam,5
Joseph Bbosa,5
John Henderson,6
Haruki Muramatsu,5
Paul Lim,5
Shahnaz Amirmoez,5
Dennis Priestley,5
Hamza Karimi,4
Scott Wollaston,4
John Michael,5
Daniel Larsson,4
Graham Filby,4
Peter Sajwani,4
Bernie Miller,4
Krzysztof Chmielewski,4
Mario Portela,4
Salmon Renyaan,4
Dennis Smith,4
Ralph McCool,4
Jim Long,4
Shane Tichowitsch,4
Andrew Gilding,4
Richie Burnett,4
Geert de Vos,5
Zsolt Meszaros,4
Johnny Haines,4
Ian Moss,4
Robbie Green,5
Kim Viljanen,6
Steve Maish,4
Bill Davis,4
Ray Carver,4
Rob Modra,4
Rie Hoshino,6
Rob Szabo,4
Radek Szaganski,5
Wayne Jones,4
Geoffrey Onen,4
Nitan Kumar,4
Nandor Bezzeg,4
Sean McGowan,4
Patrick Ochieng,4
Charl Pietersen,4
Dylan Duo,4
Jonathan Silcock,4
Chris White,4
Scott Mackenzie,6
Wayne Kelly,4
Bendicto Vuelba,4
Ronald Kalete,4
Alan Norris,4
Mick Lacey,4
Amit Gilitwala,5
Warrick Scheffer,6
Andy Smith,4
Uki Takkinen,4
Les Francis,4
Alexis Toylo,4
Kesava Roa,4
Mark Ryder Sr.,4
Dwight Smith,4
Frantisek Mika,4
Justin Broton,4
Marko Kantele,4
John Bushman,4
Kevin Dowling,4
Tony O'Shea,5
Reece Robinson,4
Terence Hallock,5
John Sethalef,4
Francis Mulonzi,4
Wynand Havenga,4
A van Rensburg,4
Jyhan Artut,5
Christo Meiring,4
John de Kruijf,4
Jason Hogg,4
Thomat Darus,4
Mathinus Grobbelaar,6
Bernd Roith,4
Ryan Ocampo,4
Harith Lim,4
Ryan Barnette,4
Thanawat Gaweenuntawong,6
Boris Krcmar,4
Kevin McDine,4
Dawood Ahmad,4
Floyd Stout,4
Charles Losper,4
Martin Schindler,4
Leonard Gates,4
Romwell Tagalog,5
Aden Kirk,4
Tito Cox,4
St Ledger Hunt,4
Diogo Portela,4
Jeff Smith,4
James Hubbard,4
Robert Marijanovic,5
Landon Gardiner,4
Roxy-James Rodriguez,6
Marc Dewsbury,4
Brent Robertson,4
Clyde Murrell,4
Sven Schneider,5
Krasimir Ivanov,4
Glen Durrant,4
William O'Connor,5
John Boland,3
Joe Rutsky,3
Evgenii Zhukov,3
Gary Vinicombe,3
Kevin Burness,3
Richie Edwards,3
Dimitri van den Burgh,6
Magnus Caris,5
Josh Payne,3
Gordon Mathers,4
Muhammad Ishfaq,3
Chris Aubrey,3
Ross Snook,3
Michel van der Horst,3
James Morel,3
Zoran Lerchbacher,3
Michael Barnard,3
Richard Cedeno,3
Dyson Parody,3
Mark Fair,3
Andre Carman,3
Johan Engstrom,3
Masashi Kajiro,3
Ben Ward,3
Mark Walsh,4
Gilbert Ulang,3
Rocco Fulcinitti,3
Sam Hewson,3
Peter Hudson,3
James Gibb,3
Steve Warnock,3
Prakash Jiwa,3
Evgenii Izotov,3
Mohammad Amin Karimpour,3
Scott Mitchell,3
Mohd Latif Sapup,3
Anthony Forde,3
Kenny Neyens,3
Sven Wens,3
Brian Ledeboer,3
Thomas Coleman,3
Hank Ebanks,3
Mike Day,3
Spencer Field,3
Mikael Mortensen,4
James Richardson,3
Hiroshi Watanobe,3
James Wallkin,3
Jeff Howard,3
James Fulford,3
Emmanuel Bitwire,4
Ulf Ceder,3
Jarkko Komula,3
Uwe Bacher,3
Steve Douglas,3
Jim Walker,3
Tic Bridge,3
Neil Duff,3
Gabor Takacs,3
Joe Murdon,3
Stephen Panucialman,3
Martin Adams,6
Warren Perry,3
Leon de Geus,3
Terry Temple,3
Steen Lysen,3
Andree Welge,3
Daniele Petri,3
Keven Inglis,3
Attapol Eupakaree,4
Ricardo Spencer,4
Wilbur Perez,3
Richie George,3
Joey Palfreyman,3
Dan Chapman,3
Terry Fougere,3
Jerry Hendriks,3
Tenge Brown,3
Antonio Alcinas,5
Jani Haavisto,3
Andy Shan Hj Samsudin,3
Craig Atze,3
Kirk Shepard,3
Mark Dudbridge,3
Ricky Evans,5
Harley Kemp,3
Albert Scarri,3
Jun Chen,3
Watanyu Charoonroj,3
Maik Langendorf,4
Ivan Larsen,3
Michal Kocik,3
Colin McGarry,3
Campbell Jackson,3
Peter Machin,3
Roger Edwards,3
Ashfaque Sayad,3
Seigo Asada,4
Jose V. Rodriguez,3
Connie Finnan,4
Darren Clifford,2
Zulrizan Azdan,2
Noboru Hirose,2
Sarthak Patel,2
Jeremy Fagg,2
Brent Robinson,2
Jason Murdoch,2
Dawson Mitchell,2
Michel Boulet,2
Hairul Azman Bujang,2
Lee Palfreyman,2
Christopher Salinas,2
Sheldon Lionel,2
Pavel Jirkal,2
Lionel Maranhao,3
Aleksandr Oreshkin,6
Jacques Labre,2
Tryfon Zabat,2
Andrew Emomeri,2
Janos Vegso,2
FJ Rudeck,2
Anthony West,2
Freeman Bomani,2
Patrick Kithi,6
J Fourie,2
Paul Meyer,2
Mohammed Gobena,2
Shawn Brenneman,2
Henrikson Joseph,2
Ross Smith,2
Kurt Perry,2
Moise Emeneya,2
Paul Dugasse,2
Kevin Simm,2
Dagbjartur Hardason,4
Olunfunmilayo Aggrey-Fynn,4
Stu Leach,2
Keith Malcolm,2
Toby Simko,2
Gary Dowman,2
J Tjinduna,2
John Muriu,2
David Glenn,2
Rodney Kane,2
Isaac Passi,2
Okey Adeleke,2
Robert Ngirigacha,2
Mark Cummins,2
Valentino Marin,2
Ross Montgomery,2
Barry Gardner,2
Gregor McQueen,2
George Requena,2
Tony Martinez,2
Barry Copeland,2
Paddy Meaney,2
Clifford Stradling,2
Josky Mbandakulu,3
Lemar Emeagwali,2
Vegar Elvevoll,3
Kevin Thomas,2
Jan-Erik Hermansson,2
Earl Smith,2
Ali Roberts,2
Adam Smith-Neale,3
Joe Byrne,2
Thorgeir Gudmundsson,3
Nathan le Bailly,2
Dan Lauby II,2
Jonny Clayton,7
Robbie King,2
Jun Cai,2
Muhammad Arshad,2
Bernie Smith,2
Ben Motsarna,2
Kenji Taguchi,2
Mbwana Mwakikagile,2
Vesa Nuutinen,2
Antony Lopez,2
Pete Dyos,2
Cristian Cimpoca,2
Eikesdal Kjetil,2
Zoltan Mester,2
Meelis Aule,2
Paolo Nebrida,2
Marcel Hausotter,2
Colin Osborne,2
Barry Lynn,2
Marcel Simard,2
Raul Invernon,2
Pip Blackwell,4
Nicholas Ogier,2
Shawn Burt,2
Karel Sedlacek,2
Samuele Casotto,2
Lewis Venes,2
Demetris Georgiou,2
Kevin Munch,2
Kevin Voornhout,2
Cameron Menzies,3
Darryl Fitton,1
Samuel Fuller,1
Damon Heta,6
Krzysztof Strozyk,1
Dean Reynolds,1
Jamie Bain,1
Mick Todd,1
Bill Aitken,1
Hyun Jun Kim,2
Mohd Nasir Jantan,1
Wayne Carey,1
Brian Raman,1
Sam Hill,1
Peter Hunt,1
Ghislain Perrault,1
Jim Edwards,1
Rene Eidans,1
Tom Becker,1
Paul Amos,1
Mehdi Shayestern,1
Tony Pettit,1
Ed Field,1
Piotr Juraszek,1
Brian Dawson,1
Claire Brookin,1
Darren Johnson,1
Guntars Grebskis,2
Remco van Eijden,1
Stefaan de Prez,1
Prince Shek,2
Norul Zulhilmi Mustapa,1
Harry Brown,1
Jose Maria Garcia-Rovira,1
Chris Hough,1
Julie Gore,2
Atsushi Homma,1
Dmytro Erashov,1
Jeffrey de Graaf,1
Robert Wagner,1
Craig Caldwell,1
Jai Monaghan,1
Peter Schonauer,1
Philip van Gasse,1
Jake Patchett,1
Sohail Saif Chaudhry,1
Norbert Attard,1
Brian Woods,1
Jason Cullen,1
Steve Brown,1
Joe Murnan,1
Dafydd Edwards,2
David Smith-Hayes,1
Dicky Davies,1
Jamie Hughes,1
Robyn Byrne,1
Mursel Yavuz,1
Craig Pullen,1
Xuejin Huang,1
Kryzsztof Strozyk,1
Nick Kenny,1
Bernard Berlouis,3
Tayla Carolissen,2
Masade Mgedeza,3
Cameron Carolissen,5
Carl Gabriel,3
Barrie Bates,2
Bradley Kirk,3
Callan Rydz,5
Colin Lloyd,2
Deta Hedman,3
Fallon Sherrock,6
Gary Blades,1
Gary Robson,1
George Killington,1
Jonathan Worsley,3
Keane Barry,2
Killian Heffernan,2
Lisa Ashton,4
Luke Humphries,6
Mark Barelli,2
Mark Frost,2
Matt Padgett,3
Mick McGowan,2
Nathan Aspinall,7
Nathan Rafferty,3
Olive Byamukama,1
Peter Jacques,3
Ritchie Edhouse,2
Rob Cross,8
Ryan Searle,4
Steve Lennon,3
Ted Evetts,4
Danny Baggish,5
Dave Cameron,3
Dawson Murschell,5
Diego Orozco,2
John Norman Jr,3
Norman Madhoo,4
Sudesh Fitzgerald,5
Adam Gawlas,3
Berry van Peer,2
Danny Noppert,4
Darius Labanauskas,5
Gabriel Clemens,4
Jeffrey de Zwaan,3
Jitse van der Wal,3
John Engstrom,2
Jose de Sousa,7
Jose Justicia,2
Krzysztof Ratajski,6
Madars Razma,3
Maik Kuivenhoven,2
Nandor Bezzeg,2
Niels Zonneveld,3
Per Skau,2
Richard Veenstra,2
Rusty-Jake Rodriguez,5
Yordi Meeuwisse,1
Alex Tagarao,1
Corey Cadby,4
Cody Harris,1
Corrine Hammond,1
Edward Foulkes,3
Haupai Puha,3
Kai Fan Leung,4
Koha Kokiri,3
Kota Suzuki,2
Lourance Illgan,1
Mikuru Suzuki,4
Noel Malicdem,2
Odkhuu Khundaganai,1
Sun Qiang,1
Lewy Williams,5
Bradley Brooks,5